341_110677_Numerical_File__5-2500.pdf	https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf	341_110677_Numerical_File,_5-2500	Department of War	5/8/26	10/14/55	Azerbaijan
342_HS1-416511228_319.1 Flying Discs 1949.pdf	https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf	342_HS1-416511228_319.1 Flying Discs 1949	Department of War	5/8/26	1/9/50	N/A
38_143685_box_Incident_Summaries_101-172.pdf	https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf	38_143685_box_Incident_Summaries_101-172	Department of War	5/8/26	N/A	N/A
38_143685_box_Incident_Summaries_173-233.pdf	https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf	38_143685_box_Incident_Summaries_173-233	Department of War	5/8/26	N/A	N/A
38_143685_box7_Incident_Summaries_1-100.pdf	https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf	38_143685_box7_Incident_Summaries_1-100	Department of War	5/8/26	N/A	N/A
59_214434_SP 16 _7.18.1963.pdf	https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_[7.18.1963].pdf	59_214434_SP 16 [7.18.1963]	Department of State	5/8/26	7/18/63	N/A
59_64634_711.5612_7-2852.pdf	https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_7.18.1963.pdf	59_64634_711.5612[7-2852	Department of State	5/8/26	7/18/52	N/A
65_HS1-101634279_100-DE-18221_Serial_844.pdf	https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-18221_serial_844.pdf	65_HS1-101634279_100-DE-18221_Serial_844	FBI	5/8/26	4/17/58	Detroit, MI
65_HS1-101634279_100-DE-26505.pdf	https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-26505.pdf	65_HS1-101634279_100-DE-26505	FBI	5/8/26	11/7/57	Germany
65_HS1-834228961_62-HQ-83894_Section_1.pdf	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_1.pdf	65_HS1-834228961_62-HQ-83894_Section_1	FBI	5/8/26	N/A	N/A
